Mean of Possible Sums,Stdev of Possible Sums,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Ranking from Max. Homo.,Z Score from Max. Homo.
15.0,2.1908902300206643,15.0,11.0,6.0,19.0,-12.0,-1.8257418583505538
13.5,3.52845575287547,19.0,7.0,17.0,20.0,-2.0,-0.2834101006325679
16.0,2.756809750418044,19.0,12.0,15.0,17.0,5.0,0.7254762501100117
12.5,2.7294688127912363,14.0,8.0,13.0,17.0,-4.0,-1.0991149581709674
10.0,2.280350850198276,8.0,6.0,3.0,14.0,-15.0,-2.6311740579210876
12.0,2.898275349237888,12.0,7.0,6.0,16.0,-10.0,-1.3801311186847083
12.0,3.714835124201342,7.0,5.0,1.0,19.0,-18.0,-3.230291412348993
11.0,3.255764119219941,5.0,5.0,0.0,17.0,-19.0,-3.6857707010037073
9.0,3.0,10.0,4.0,11.0,14.0,-7.0,-1.3333333333333333
11.5,4.129164564412516,4.0,4.0,0.0,12.0,-10.0,-1.937437918785931
11.0,3.4351128074635335,9.0,6.0,7.0,16.0,-11.0,-2.037778784088537
12.0,2.1908902300206643,14.0,8.0,14.0,10.0,11.0,1.8257418583505538
17.5,1.6278820596099706,18.0,14.0,10.0,17.0,3.0,0.6142951168339512
12.5,2.247220505424423,14.0,9.0,13.0,16.0,-4.0,-0.8899883189799696
10.0,2.5298221281347035,12.0,5.0,14.0,15.0,-5.0,-1.1858541225631423
19.5,1.5,19.0,17.0,4.0,22.0,-13.0,-2.0
15.0,2.04939015319192,15.0,12.0,9.0,16.0,-2.0,-0.48795003647426655
17.0,2.4083189157584592,19.0,13.0,13.0,21.0,-6.0,-0.8304547985373997
16.0,4.0,17.0,8.0,11.0,24.0,-8.0,-1.75
13.0,4.219004621945797,8.0,4.0,1.0,15.0,-11.0,-1.6591591209899204
