Mean of Possible Sums,Stdev of Possible Sums,Participant Rating,Picked Sum,Minimum Possible Sum,Ranking From Min,Maximizing Homophily Sum,Maximizing Homophily Rank,Ranking from Max. Homo.,Z Score from Max. Homo.
13.5,3.442382895611701,5.0,15.0,7.0,12.0,14.0,10.0,2.0,0.2904964468870634
16.5,2.8722813232690143,5.0,17.0,11.0,10.0,14.0,3.0,7.0,1.044465935734187
14.5,3.8275318418009276,5.0,12.0,7.0,4.0,11.0,3.0,1.0,0.26126497213658206
16.5,2.539685019840059,5.0,14.0,12.0,3.0,16.0,8.0,-5.0,-0.7874992309581578
15.0,3.872983346207417,6.0,21.0,8.0,17.0,20.0,16.0,1.0,0.2581988897471611
16.0,3.847076812334269,6.0,23.0,9.0,19.0,20.0,16.0,3.0,0.7798128673650545
18.5,3.4132096331752027,5.0,16.0,13.0,5.0,19.0,10.0,-5.0,-0.8789381029635714
15.0,2.1908902300206643,5.0,18.0,11.0,17.0,15.0,8.0,9.0,1.3693063937629153
16.5,3.0740852297878796,5.0,13.0,11.0,1.0,17.0,10.0,-9.0,-1.3012000972647109
14.5,2.8372521918222215,4.0,14.0,9.0,6.0,13.0,4.0,2.0,0.3524536884251207
12.0,3.1937438845342623,5.0,10.0,6.0,5.0,13.0,11.0,-6.0,-0.9393364366277243
12.5,2.8372521918222215,5.0,13.0,7.0,10.0,15.0,15.0,-5.0,-0.7049073768502414
15.0,3.0,4.0,14.0,10.0,5.0,15.0,9.0,-4.0,-0.3333333333333333
11.0,2.4083189157584592,4.0,12.0,6.0,11.0,13.0,14.0,-3.0,-0.41522739926869984
11.5,2.1095023109728985,4.0,11.0,8.0,7.0,11.0,7.0,0.0,0.0
12.5,1.6278820596099706,4.0,12.0,10.0,6.0,12.0,6.0,0.0,0.0
13.5,3.170173496829472,5.0,10.0,8.0,3.0,13.0,8.0,-5.0,-0.9463204468147676
13.0,2.6457513110645907,4.0,13.0,8.0,8.0,13.0,8.0,0.0,0.0
9.0,3.0983866769659336,4.0,13.0,3.0,16.0,15.0,19.0,-3.0,-0.6454972243679028
11.5,3.0413812651491097,5.0,11.0,6.0,8.0,12.0,10.0,-2.0,-0.3287979746107146
